filename,snr,siib_score
ALL_049_F_ENG_ENG_HT1_S001,8,1209.6815705377899
ALL_049_F_ENG_ENG_HT1_S002,0,379.1058957914141
ALL_049_F_ENG_ENG_HT1_S001,n2,1207.412051005464
ALL_049_F_ENG_ENG_HT1_S001,0,1205.8824916895219
ALL_049_F_ENG_ENG_HT1_S001,2,1208.3949984150488
ALL_049_F_ENG_ENG_HT1_S001,n4,1200.9890917496336
ALL_049_F_ENG_ENG_HT1_S002,2,384.19740426842895
ALL_049_F_ENG_ENG_HT1_S001,4,1204.3554004618059
ALL_049_F_ENG_ENG_HT1_S002,4,389.32866627027045
ALL_049_F_ENG_ENG_HT1_S001,6,1203.9545160111772
ALL_049_F_ENG_ENG_HT1_S002,n2,377.3550355772046
ALL_049_F_ENG_ENG_HT1_S002,8,405.62218392996
ALL_049_F_ENG_ENG_HT1_S002,n4,371.00436858477326
ALL_049_F_ENG_ENG_HT1_S002,6,399.23260326371155
ALL_049_F_ENG_ENG_HT1_S003,4,411.46920531622527
ALL_049_F_ENG_ENG_HT1_S003,6,421.26485718627555
ALL_049_F_ENG_ENG_HT1_S003,8,432.63362133249143
ALL_049_F_ENG_ENG_HT1_S003,n2,378.4257873488237
ALL_049_F_ENG_ENG_HT1_S003,0,390.87572649577817
ALL_049_F_ENG_ENG_HT1_S003,2,401.03738702170085
ALL_049_F_ENG_ENG_HT1_S004,2,237.36897629491108
ALL_049_F_ENG_ENG_HT1_S004,0,228.152285358811
ALL_049_F_ENG_ENG_HT1_S003,n4,369.86755339186817
ALL_049_F_ENG_ENG_HT1_S004,4,248.9618218844885
ALL_049_F_ENG_ENG_HT1_S004,n2,220.7148843251315
ALL_049_F_ENG_ENG_HT1_S005,0,224.5287868698034
ALL_049_F_ENG_ENG_HT1_S004,8,272.9593717109751
ALL_049_F_ENG_ENG_HT1_S004,6,260.3804606714247
ALL_049_F_ENG_ENG_HT1_S004,n4,212.4812862849347
ALL_049_F_ENG_ENG_HT1_S005,2,236.54765468284745
ALL_049_F_ENG_ENG_HT1_S005,8,268.87262254540315
ALL_049_F_ENG_ENG_HT1_S005,6,259.35602419944973
ALL_049_F_ENG_ENG_HT1_S005,4,246.32304873960317
ALL_049_F_ENG_ENG_HT1_S006,0,232.82615839956492
ALL_049_F_ENG_ENG_HT1_S005,n4,212.84835519921197
ALL_049_F_ENG_ENG_HT1_S006,2,239.58197841604948
ALL_049_F_ENG_ENG_HT1_S005,n2,218.27607841984664
ALL_049_F_ENG_ENG_HT1_S006,6,263.08562006375706
ALL_049_F_ENG_ENG_HT1_S006,n2,227.89960071998954
ALL_049_F_ENG_ENG_HT1_S006,8,275.38984632965673
ALL_049_F_ENG_ENG_HT1_S006,4,250.69510836764178
ALL_049_F_ENG_ENG_HT1_S006,n4,222.5665657729917
ALL_049_F_ENG_ENG_HT1_S007,0,210.23100930970287
ALL_049_F_ENG_ENG_HT1_S007,2,216.0626009353245
ALL_049_F_ENG_ENG_HT1_S007,6,241.05558225223132
ALL_049_F_ENG_ENG_HT1_S007,4,228.10973257957187
ALL_049_F_ENG_ENG_HT1_S007,8,255.40696365840432
ALL_049_F_ENG_ENG_HT1_S007,n4,194.48112158108066
ALL_049_F_ENG_ENG_HT1_S008,0,335.6951033597698
ALL_049_F_ENG_ENG_HT1_S007,n2,202.24386685743755
ALL_049_F_ENG_ENG_HT1_S008,2,344.32139229298275
ALL_049_F_ENG_ENG_HT1_S008,6,363.589551183105
ALL_049_F_ENG_ENG_HT1_S008,4,355.10874781532846
ALL_049_F_ENG_ENG_HT1_S008,8,375.29707583031393
ALL_049_F_ENG_ENG_HT1_S009,0,242.04964618279794
ALL_049_F_ENG_ENG_HT1_S008,n4,327.87414868353176
ALL_049_F_ENG_ENG_HT1_S008,n2,332.712093646011
ALL_049_F_ENG_ENG_HT1_S009,2,253.88677365342542
ALL_049_F_ENG_ENG_HT1_S009,4,262.29219489166564
ALL_049_F_ENG_ENG_HT1_S009,6,272.83738164841054
ALL_049_F_ENG_ENG_HT1_S009,n4,230.43895432743523
ALL_049_F_ENG_ENG_HT1_S009,8,286.90056823365336
ALL_049_F_ENG_ENG_HT1_S009,n2,235.17258945007927
ALL_049_F_ENG_ENG_HT1_S010,0,234.06233214958482
ALL_049_F_ENG_ENG_HT1_S010,2,242.51912272813775
ALL_049_F_ENG_ENG_HT1_S010,8,276.0438279737432
ALL_049_F_ENG_ENG_HT1_S010,4,252.63233804782908
ALL_049_F_ENG_ENG_HT1_S010,6,264.09643649882037
ALL_049_F_ENG_ENG_HT1_S011,0,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S011,4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S011,2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S010,n2,227.96747420478619
ALL_049_F_ENG_ENG_HT1_S010,n4,222.2965150217274
ALL_049_F_ENG_ENG_HT1_S011,6,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S011,8,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S011,n2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S011,n4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S012,2,339.9746478329902
ALL_049_F_ENG_ENG_HT1_S012,0,329.3755246380288
ALL_049_F_ENG_ENG_HT1_S012,4,349.5522126290416
ALL_049_F_ENG_ENG_HT1_S012,8,374.6971652187222
ALL_049_F_ENG_ENG_HT1_S012,6,363.25844973813565
ALL_049_F_ENG_ENG_HT1_S012,n4,317.6714881733507
ALL_049_F_ENG_ENG_HT1_S013,0,364.2508921725929
ALL_049_F_ENG_ENG_HT1_S012,n2,322.41957303512635
ALL_049_F_ENG_ENG_HT1_S013,4,374.1758751701192
ALL_049_F_ENG_ENG_HT1_S013,2,368.87410198780253
ALL_049_F_ENG_ENG_HT1_S013,6,384.07504144315203
ALL_049_F_ENG_ENG_HT1_S013,n2,362.1955366630708
ALL_049_F_ENG_ENG_HT1_S013,n4,357.91567710903905
ALL_049_F_ENG_ENG_HT1_S013,8,396.0901204952521
ALL_049_F_ENG_ENG_HT1_S014,2,373.67963381023674
ALL_049_F_ENG_ENG_HT1_S014,4,377.8674180062743
ALL_049_F_ENG_ENG_HT1_S014,0,366.1408808548118
ALL_049_F_ENG_ENG_HT1_S014,6,385.56750631553575
ALL_049_F_ENG_ENG_HT1_S014,8,397.28356699316765
ALL_049_F_ENG_ENG_HT1_S014,n2,360.2771553106137
ALL_049_F_ENG_ENG_HT1_S014,n4,358.1324496893908
ALL_049_F_ENG_ENG_HT1_S015,0,250.31931649918437
ALL_049_F_ENG_ENG_HT1_S015,8,296.90226207130655
ALL_049_F_ENG_ENG_HT1_S015,4,275.14167700416704
ALL_049_F_ENG_ENG_HT1_S015,6,286.354400897141
ALL_049_F_ENG_ENG_HT1_S015,2,260.94043653662965
ALL_049_F_ENG_ENG_HT1_S015,n2,240.71124377015576
ALL_049_F_ENG_ENG_HT1_S015,n4,234.68929710747514
ALL_049_F_ENG_ENG_HT1_S016,0,230.59847295324724
ALL_049_F_ENG_ENG_HT1_S016,4,253.15226073338445
ALL_049_F_ENG_ENG_HT1_S016,2,242.7733054800748
ALL_049_F_ENG_ENG_HT1_S016,n4,212.58306418800726
ALL_049_F_ENG_ENG_HT1_S017,0,213.08493519046692
ALL_049_F_ENG_ENG_HT1_S016,6,267.7938361119025
ALL_049_F_ENG_ENG_HT1_S016,8,280.69971556370115
ALL_049_F_ENG_ENG_HT1_S017,2,223.5911260836988
ALL_049_F_ENG_ENG_HT1_S016,n2,220.52412331343922
ALL_049_F_ENG_ENG_HT1_S017,4,234.2535845829458
ALL_049_F_ENG_ENG_HT1_S017,6,249.904822324961
ALL_049_F_ENG_ENG_HT1_S017,n2,203.0586123750659
ALL_049_F_ENG_ENG_HT1_S017,8,269.7839062224891
ALL_049_F_ENG_ENG_HT1_S018,2,245.63332478804347
ALL_049_F_ENG_ENG_HT1_S018,0,236.4815214779715
ALL_049_F_ENG_ENG_HT1_S017,n4,196.57387995671195
ALL_049_F_ENG_ENG_HT1_S018,8,286.7439056910225
ALL_049_F_ENG_ENG_HT1_S018,4,258.47648076905614
ALL_049_F_ENG_ENG_HT1_S018,6,272.487655053537
ALL_049_F_ENG_ENG_HT1_S018,n2,227.23492866138238
ALL_049_F_ENG_ENG_HT1_S019,0,212.83288351290835
ALL_049_F_ENG_ENG_HT1_S019,4,233.96083699036444
ALL_049_F_ENG_ENG_HT1_S019,2,224.79776447988206
ALL_049_F_ENG_ENG_HT1_S018,n4,219.7885186857946
ALL_049_F_ENG_ENG_HT1_S020,0,186.23214280871179
ALL_049_F_ENG_ENG_HT1_S019,n4,186.98868477100828
ALL_049_F_ENG_ENG_HT1_S019,n2,199.55349703127058
ALL_049_F_ENG_ENG_HT1_S019,6,250.08533559465107
ALL_049_F_ENG_ENG_HT1_S019,8,264.2604403457623
ALL_049_F_ENG_ENG_HT1_S020,8,248.14500492684624
ALL_049_F_ENG_ENG_HT1_S020,4,212.16374999105028
ALL_049_F_ENG_ENG_HT1_S020,6,228.89311486974015
ALL_049_F_ENG_ENG_HT1_S020,2,198.35134894693948
ALL_049_F_ENG_ENG_HT1_S020,n2,176.29389867129754
ALL_049_F_ENG_ENG_HT1_S020,n4,170.51183330304406
ALL_049_F_ENG_ENG_HT1_S021,0,536.9107939105459
ALL_049_F_ENG_ENG_HT1_S021,2,537.5155020252389
ALL_049_F_ENG_ENG_HT1_S021,4,537.6419536683062
ALL_049_F_ENG_ENG_HT1_S021,6,538.4964318547292
ALL_049_F_ENG_ENG_HT1_S021,n2,536.3361906392082
ALL_049_F_ENG_ENG_HT1_S021,8,537.5667600769004
ALL_049_F_ENG_ENG_HT1_S021,n4,537.1108589303265
ALL_049_F_ENG_ENG_HT1_S022,4,400.3675564017906
ALL_049_F_ENG_ENG_HT1_S022,2,390.4478638134391
ALL_049_F_ENG_ENG_HT1_S022,0,377.80992226765045
ALL_049_F_ENG_ENG_HT1_S023,0,477.62211311607314
ALL_049_F_ENG_ENG_HT1_S022,n4,364.18429405217177
ALL_049_F_ENG_ENG_HT1_S022,n2,366.2985602440667
ALL_049_F_ENG_ENG_HT1_S022,8,425.56756298900046
ALL_049_F_ENG_ENG_HT1_S022,6,413.4773482556966
ALL_049_F_ENG_ENG_HT1_S023,4,472.74704916372764
ALL_049_F_ENG_ENG_HT1_S023,2,475.992430384043
ALL_049_F_ENG_ENG_HT1_S023,n2,474.2158225461413
ALL_049_F_ENG_ENG_HT1_S023,6,472.94395108530335
ALL_049_F_ENG_ENG_HT1_S023,8,472.7073711710934
ALL_049_F_ENG_ENG_HT1_S024,0,241.26948782830783
ALL_049_F_ENG_ENG_HT1_S024,2,255.354917916695
ALL_049_F_ENG_ENG_HT1_S023,n4,474.4982991402544
ALL_049_F_ENG_ENG_HT1_S024,n2,232.40406169393685
ALL_049_F_ENG_ENG_HT1_S024,4,266.69432650422664
ALL_049_F_ENG_ENG_HT1_S024,8,291.8156618345714
ALL_049_F_ENG_ENG_HT1_S024,6,279.98146806675874
ALL_049_F_ENG_ENG_HT1_S024,n4,228.3684691150105
ALL_049_F_ENG_ENG_HT1_S025,0,243.86881755184436
ALL_049_F_ENG_ENG_HT1_S025,2,255.02460091310334
ALL_049_F_ENG_ENG_HT1_S025,8,298.97186899130423
ALL_049_F_ENG_ENG_HT1_S025,4,266.99953807609063
ALL_049_F_ENG_ENG_HT1_S025,6,283.00917637713104
ALL_049_F_ENG_ENG_HT1_S026,2,265.36558188049474
ALL_049_F_ENG_ENG_HT1_S026,0,255.7547827846785
ALL_049_F_ENG_ENG_HT1_S025,n2,234.3863366786202
ALL_049_F_ENG_ENG_HT1_S025,n4,225.19301137105623
ALL_049_F_ENG_ENG_HT1_S026,4,278.95132930975166
ALL_049_F_ENG_ENG_HT1_S026,8,302.4106595006697
ALL_049_F_ENG_ENG_HT1_S026,n2,244.88643693485085
ALL_049_F_ENG_ENG_HT1_S026,6,291.68340420429183
ALL_049_F_ENG_ENG_HT1_S027,0,217.76218157824908
ALL_049_F_ENG_ENG_HT1_S026,n4,238.34214499363605
ALL_049_F_ENG_ENG_HT1_S027,6,256.3175657697682
ALL_049_F_ENG_ENG_HT1_S027,4,241.16549752191372
ALL_049_F_ENG_ENG_HT1_S027,2,227.97976360538462
ALL_049_F_ENG_ENG_HT1_S027,8,273.67000548024197
ALL_049_F_ENG_ENG_HT1_S027,n2,211.88605618388436
ALL_049_F_ENG_ENG_HT1_S027,n4,205.34815946380414
ALL_049_F_ENG_ENG_HT1_S028,0,395.7854157130208
ALL_049_F_ENG_ENG_HT1_S028,4,407.7671014880587
ALL_049_F_ENG_ENG_HT1_S028,6,415.09008375467727
ALL_049_F_ENG_ENG_HT1_S028,2,401.2698160699143
ALL_049_F_ENG_ENG_HT1_S028,n2,389.8468120988259
ALL_049_F_ENG_ENG_HT1_S028,8,424.50369705428966
ALL_049_F_ENG_ENG_HT1_S028,n4,381.43312720703904
ALL_049_F_ENG_ENG_HT1_S029,0,200.413566840837
ALL_049_F_ENG_ENG_HT1_S029,2,209.62852824751133
ALL_049_F_ENG_ENG_HT1_S029,4,224.53783739686642
ALL_049_F_ENG_ENG_HT1_S029,6,235.16638155264485
ALL_049_F_ENG_ENG_HT1_S029,n2,193.29147191316716
ALL_049_F_ENG_ENG_HT1_S029,8,251.20011818843716
ALL_049_F_ENG_ENG_HT1_S030,0,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S030,4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S030,2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S030,8,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S029,n4,183.6121385080707
ALL_049_F_ENG_ENG_HT1_S030,6,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S030,n2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S030,n4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S031,4,232.11699018653957
ALL_049_F_ENG_ENG_HT1_S031,0,214.6237337918749
ALL_049_F_ENG_ENG_HT1_S031,2,222.48928023250085
ALL_049_F_ENG_ENG_HT1_S031,8,256.7122871759075
ALL_049_F_ENG_ENG_HT1_S031,6,244.0175571370802
ALL_049_F_ENG_ENG_HT1_S032,0,239.7744443170805
ALL_049_F_ENG_ENG_HT1_S031,n4,203.50977193526788
ALL_049_F_ENG_ENG_HT1_S031,n2,208.51973109463995
ALL_049_F_ENG_ENG_HT1_S032,8,309.4132027884614
