filename,snr,siib_score_gaussian
ALL_049_F_ENG_ENG_HT1_S001,6,47.99612092630272
ALL_049_F_ENG_ENG_HT1_S002,2,44.02001226112032
ALL_049_F_ENG_ENG_HT1_S001,8,59.61843678264458
ALL_049_F_ENG_ENG_HT1_S001,4,37.83819158400342
ALL_049_F_ENG_ENG_HT1_S001,n2,15.101907173650782
ALL_049_F_ENG_ENG_HT1_S001,2,28.984040826380127
ALL_049_F_ENG_ENG_HT1_S002,0,37.223965633500946
ALL_049_F_ENG_ENG_HT1_S002,4,52.01995011138938
ALL_049_F_ENG_ENG_HT1_S001,n4,10.41566563186239
ALL_049_F_ENG_ENG_HT1_S001,0,21.36881510445467
ALL_049_F_ENG_ENG_HT1_S002,n4,26.611279281201334
ALL_049_F_ENG_ENG_HT1_S002,n2,31.487213482998477
ALL_049_F_ENG_ENG_HT1_S002,8,72.11277219633914
ALL_049_F_ENG_ENG_HT1_S002,6,61.33713871688538
ALL_049_F_ENG_ENG_HT1_S003,0,37.73871661039647
ALL_049_F_ENG_ENG_HT1_S003,6,67.02636430230899
ALL_049_F_ENG_ENG_HT1_S003,4,56.11821526515616
ALL_049_F_ENG_ENG_HT1_S003,2,46.33598371372782
ALL_049_F_ENG_ENG_HT1_S003,8,79.09480177629041
ALL_049_F_ENG_ENG_HT1_S003,n4,23.92955033091185
ALL_049_F_ENG_ENG_HT1_S004,0,31.268325514160686
ALL_049_F_ENG_ENG_HT1_S004,2,38.34289048689455
ALL_049_F_ENG_ENG_HT1_S004,4,46.809657525549746
ALL_049_F_ENG_ENG_HT1_S004,8,67.44585028478132
ALL_049_F_ENG_ENG_HT1_S003,n2,30.312620909411002
ALL_049_F_ENG_ENG_HT1_S004,6,56.50194800079704
ALL_049_F_ENG_ENG_HT1_S005,4,52.785293848053534
ALL_049_F_ENG_ENG_HT1_S005,2,44.642215605075364
ALL_049_F_ENG_ENG_HT1_S005,6,61.82263759280967
ALL_049_F_ENG_ENG_HT1_S004,n2,25.54100424042952
ALL_049_F_ENG_ENG_HT1_S004,n4,20.909352730555753
ALL_049_F_ENG_ENG_HT1_S005,0,37.646658642308566
ALL_049_F_ENG_ENG_HT1_S005,n2,31.58644961098438
ALL_049_F_ENG_ENG_HT1_S005,8,71.58453139046907
ALL_049_F_ENG_ENG_HT1_S006,0,40.593765992321046
ALL_049_F_ENG_ENG_HT1_S005,n4,26.099090855762658
ALL_049_F_ENG_ENG_HT1_S006,4,60.00045121069601
ALL_049_F_ENG_ENG_HT1_S006,2,49.77157060273346
ALL_049_F_ENG_ENG_HT1_S006,6,71.06899223568276
ALL_049_F_ENG_ENG_HT1_S006,8,82.81146073606524
ALL_049_F_ENG_ENG_HT1_S006,n4,25.567741810782252
ALL_049_F_ENG_ENG_HT1_S006,n2,32.56609513246177
ALL_049_F_ENG_ENG_HT1_S007,2,39.93040786067891
ALL_049_F_ENG_ENG_HT1_S007,0,32.76460022660488
ALL_049_F_ENG_ENG_HT1_S007,6,59.16397867763692
ALL_049_F_ENG_ENG_HT1_S007,4,48.68420769102521
ALL_049_F_ENG_ENG_HT1_S007,n2,26.877291139022578
ALL_049_F_ENG_ENG_HT1_S007,n4,21.884858403720106
ALL_049_F_ENG_ENG_HT1_S007,8,71.4907356593353
ALL_049_F_ENG_ENG_HT1_S008,8,67.16824141948523
ALL_049_F_ENG_ENG_HT1_S008,n4,23.153044767311773
ALL_049_F_ENG_ENG_HT1_S008,6,56.95720304840027
ALL_049_F_ENG_ENG_HT1_S008,n2,28.359466365170462
ALL_049_F_ENG_ENG_HT1_S008,2,40.75690943942783
ALL_049_F_ENG_ENG_HT1_S008,4,48.25767595278033
ALL_049_F_ENG_ENG_HT1_S008,0,34.17154507182864
ALL_049_F_ENG_ENG_HT1_S009,6,69.92338821003067
ALL_049_F_ENG_ENG_HT1_S009,2,50.48834743753437
ALL_049_F_ENG_ENG_HT1_S009,0,42.38590441397733
ALL_049_F_ENG_ENG_HT1_S009,4,59.620624381395004
ALL_049_F_ENG_ENG_HT1_S009,n2,35.230662153908774
ALL_049_F_ENG_ENG_HT1_S009,8,81.58331789952103
ALL_049_F_ENG_ENG_HT1_S009,n4,28.856465613018848
ALL_049_F_ENG_ENG_HT1_S010,4,53.45263750166138
ALL_049_F_ENG_ENG_HT1_S010,2,44.98005533691183
ALL_049_F_ENG_ENG_HT1_S010,0,37.03693301381224
ALL_049_F_ENG_ENG_HT1_S011,0,39.36154093410302
ALL_049_F_ENG_ENG_HT1_S010,8,72.24271838254215
ALL_049_F_ENG_ENG_HT1_S010,6,62.45982531105352
ALL_049_F_ENG_ENG_HT1_S010,n4,23.333440684701134
ALL_049_F_ENG_ENG_HT1_S010,n2,29.80089435339793
